Gene	Essential	Non-essential	Unclear
thrL	FALSE	TRUE	FALSE
thrA	FALSE	TRUE	FALSE
thrB	FALSE	TRUE	FALSE
thrC	FALSE	TRUE	FALSE
yaaX	FALSE	TRUE	FALSE
yaaA	FALSE	TRUE	FALSE
yaaJ	FALSE	TRUE	FALSE
talB	FALSE	TRUE	FALSE
mog	FALSE	TRUE	FALSE
satP	FALSE	TRUE	FALSE
yaaW	FALSE	TRUE	FALSE
yaaI	FALSE	TRUE	FALSE
dnaK	FALSE	FALSE	TRUE
dnaJ	FALSE	TRUE	FALSE
insL1	FALSE	TRUE	FALSE
mokC	FALSE	TRUE	FALSE
hokC	FALSE	TRUE	FALSE
nhaA	FALSE	TRUE	FALSE
nhaR	FALSE	TRUE	FALSE
insB1	FALSE	TRUE	FALSE
insA	FALSE	TRUE	FALSE
rpsT	TRUE	FALSE	FALSE
yaaY	FALSE	TRUE	FALSE
ribF	TRUE	FALSE	FALSE
ileS	TRUE	FALSE	FALSE
lspA	TRUE	FALSE	FALSE
fkpB	FALSE	TRUE	FALSE
ispH	TRUE	FALSE	FALSE
rihC	FALSE	TRUE	FALSE
dapB	TRUE	FALSE	FALSE
carA	FALSE	TRUE	FALSE
carB	FALSE	TRUE	FALSE
caiF	FALSE	TRUE	FALSE
caiE	FALSE	TRUE	FALSE
caiD	FALSE	TRUE	FALSE
caiC	FALSE	TRUE	FALSE
caiB	FALSE	TRUE	FALSE
caiA	FALSE	TRUE	FALSE
caiT	FALSE	TRUE	FALSE
fixA	FALSE	TRUE	FALSE
fixB	FALSE	TRUE	FALSE
fixC	FALSE	TRUE	FALSE
fixX	FALSE	TRUE	FALSE
yaaU	FALSE	TRUE	FALSE
kefF	FALSE	TRUE	FALSE
kefC	FALSE	TRUE	FALSE
folA	TRUE	FALSE	FALSE
apaH	FALSE	TRUE	FALSE
apaG	FALSE	TRUE	FALSE
rsmA	FALSE	TRUE	FALSE
pdxA	FALSE	TRUE	FALSE
surA	FALSE	TRUE	FALSE
lptD	TRUE	FALSE	FALSE
djlA	FALSE	TRUE	FALSE
yabP	FALSE	TRUE	FALSE
rluA	FALSE	TRUE	FALSE
rapA	FALSE	TRUE	FALSE
polB	FALSE	TRUE	FALSE
araD	FALSE	TRUE	FALSE
araC	FALSE	TRUE	FALSE
yabI	FALSE	TRUE	FALSE
thiQ	FALSE	TRUE	FALSE
thiP	FALSE	TRUE	FALSE
thiB	FALSE	TRUE	FALSE
sgrR	FALSE	TRUE	FALSE
sgrT	FALSE	TRUE	FALSE
setA	FALSE	TRUE	FALSE
leuD	FALSE	TRUE	FALSE
leuC	FALSE	TRUE	FALSE
leuB	FALSE	TRUE	FALSE
leuA	FALSE	TRUE	FALSE
leuL	FALSE	TRUE	FALSE
leuO	FALSE	TRUE	FALSE
ilvI	FALSE	TRUE	FALSE
ilvH	FALSE	TRUE	FALSE
cra	FALSE	TRUE	FALSE
mraZ	FALSE	TRUE	FALSE
rsmH	FALSE	TRUE	FALSE
ftsL	FALSE	FALSE	TRUE
ftsI	TRUE	FALSE	FALSE
murE	TRUE	FALSE	FALSE
murF	TRUE	FALSE	FALSE
mraY	TRUE	FALSE	FALSE
murD	TRUE	FALSE	FALSE
ftsW	TRUE	FALSE	FALSE
murG	TRUE	FALSE	FALSE
murC	TRUE	FALSE	FALSE
